number_params,error_rate,incorrect_inputs
1,0.0,0
2,0.0,0
3,0.6666666666666666,2
4,0.0,0
5,0.0,0
6,0.16666666666666666,1
7,0.0,0
8,0.25,2
9,0.2222222222222222,2
10,0.3,3
11,0.18181818181818182,2
12,0.3333333333333333,4
13,0.07692307692307693,1
14,0.14285714285714285,2
15,0.0,0
16,0.25,4
17,0.058823529411764705,1
18,0.05555555555555555,1
19,0.10526315789473684,2
20,0.15,3
21,0.2857142857142857,6
22,0.5,11
23,0.34782608695652173,8
24,0.20833333333333334,5
25,0.16,4
26,0.23076923076923078,6
27,0.25925925925925924,7
28,0.14285714285714285,4
29,0.2413793103448276,7
30,0.16666666666666666,5
31,0.12903225806451613,4
32,0.3125,10
33,0.3939393939393939,13
34,0.4411764705882353,15
36,0.16666666666666666,6
37,0.35135135135135137,13
38,0.2894736842105263,11
39,0.20512820512820512,8
