number_params,error_rate,incorrect_inputs
1,0.0,0
2,0.0,0
3,0.3333333333333333,1
4,0.5,2
5,0.0,0
6,0.3333333333333333,2
7,0.14285714285714285,1
8,0.0,0
9,0.2222222222222222,2
10,0.2,2
11,0.2727272727272727,3
12,0.08333333333333333,1
13,0.23076923076923078,3
14,0.21428571428571427,3
15,0.06666666666666667,1
16,0.125,2
17,0.058823529411764705,1
18,0.05555555555555555,1
19,0.15789473684210525,3
20,0.1,2
21,0.19047619047619047,4
22,0.13636363636363635,3
23,0.08695652173913043,2
24,0.125,3
25,0.12,3
26,0.15384615384615385,4
27,0.14814814814814814,4
28,0.14285714285714285,4
29,0.13793103448275862,4
30,0.2,6
31,0.12903225806451613,4
32,0.125,4
33,0.15151515151515152,5
34,0.14705882352941177,5
35,0.08571428571428572,3
36,0.1388888888888889,5
37,0.10810810810810811,4
38,0.10526315789473684,4
39,0.10256410256410256,4
