number_params,error_rate,incorrect_inputs
1,1.0,1
2,0.0,0
3,0.3333333333333333,1
4,0.25,1
5,0.0,0
6,0.16666666666666666,1
7,0.14285714285714285,1
8,0.125,1
9,0.2222222222222222,2
10,0.2,2
11,0.0,0
12,0.3333333333333333,4
13,0.15384615384615385,2
14,0.0,0
15,0.13333333333333333,2
16,0.125,2
17,0.11764705882352941,2
18,0.1111111111111111,2
19,0.05263157894736842,1
20,0.15,3
21,0.19047619047619047,4
22,0.13636363636363635,3
23,0.17391304347826086,4
24,0.08333333333333333,2
25,0.08,2
26,0.2692307692307692,7
27,0.07407407407407407,2
28,0.10714285714285714,3
29,0.06896551724137931,2
30,0.13333333333333333,4
31,0.16129032258064516,5
32,0.375,12
33,0.15151515151515152,5
34,0.14705882352941177,5
35,0.08571428571428572,3
36,0.1111111111111111,4
37,0.2972972972972973,11
38,0.2894736842105263,11
39,0.1282051282051282,5
