number_params,error_rate,incorrect_inputs
1,1.0,1
2,0.5,1
3,0.0,0
4,0.5,2
5,0.0,0
6,0.16666666666666666,1
7,0.0,0
8,0.125,1
9,0.0,0
10,0.2,2
11,0.09090909090909091,1
12,0.16666666666666666,2
13,0.15384615384615385,2
14,0.21428571428571427,3
15,0.06666666666666667,1
16,0.0625,1
17,0.11764705882352941,2
18,0.05555555555555555,1
19,0.15789473684210525,3
20,0.15,3
21,0.09523809523809523,2
22,0.045454545454545456,1
23,0.17391304347826086,4
24,0.2916666666666667,7
25,0.08,2
26,0.038461538461538464,1
27,0.14814814814814814,4
28,0.17857142857142858,5
29,0.10344827586206896,3
30,0.13333333333333333,4
31,0.16129032258064516,5
32,0.09375,3
33,0.15151515151515152,5
34,0.14705882352941177,5
35,0.08571428571428572,3
36,0.1388888888888889,5
37,0.13513513513513514,5
38,0.10526315789473684,4
39,0.1282051282051282,5
