Tool Count,Exception Rate,Tool Execution Rate,Correct Tool Rate,Average Latency (s)
5,0.0,1.0,1.0,6.324452209472656
6,0.0,1.0,1.0,6.517477655410767
7,0.0,1.0,1.0,5.676704216003418
8,0.0,1.0,1.0,6.57601261138916
9,0.0,1.0,1.0,6.127613210678101
10,0.0,1.0,1.0,6.00514850616455
11,0.0,1.0,1.0,7.1792816638946535
12,0.0,1.0,1.0,6.76428484916687
13,0.0,1.0,1.0,7.498309135437012
14,0.0,1.0,1.0,6.181099557876587
15,0.0,1.0,1.0,7.20572566986084
16,0.0,1.0,1.0,6.707676887512207
17,0.0,1.0,1.0,6.679077529907227
18,0.0,0.6,0.6,16.89913010597229
