Tool Count,Exception Rate,Tool Execution Rate,Correct Tool Rate,Average Latency (s)
5,0.0,1.0,1.0,5.775270748138428
6,0.0,1.0,1.0,5.68381896018982
7,0.0,1.0,1.0,5.588019847869873
8,0.0,1.0,1.0,5.796424055099488
9,0.0,1.0,1.0,5.661185932159424
10,0.0,1.0,1.0,6.095503568649292
11,0.0,1.0,1.0,6.164526128768921
12,0.0,1.0,1.0,6.235353183746338
13,0.0,1.0,1.0,6.357501792907715
14,0.0,1.0,1.0,6.535350370407104
15,0.0,1.0,1.0,25.386384868621825
16,0.0,1.0,1.0,6.515927791595459
17,0.0,1.0,1.0,6.308479881286621
18,0.0,0.2,0.0,33.73235321044922
