Tool Count,Exception Rate,Tool Execution Rate,Correct Tool Rate,Average Latency (s)
5,0.0,1.0,1.0,7.652110910415649
6,0.0,1.0,1.0,6.162015581130982
7,0.0,1.0,1.0,5.518191003799439
8,0.0,1.0,1.0,5.77085394859314
9,0.0,1.0,1.0,5.962193727493286
10,0.0,1.0,1.0,6.137166547775268
11,0.0,1.0,1.0,5.96928219795227
12,0.0,1.0,1.0,6.386389112472534
13,0.0,1.0,1.0,7.214794778823853
14,0.0,1.0,1.0,6.898428344726563
15,0.0,1.0,1.0,7.058244752883911
16,0.0,1.0,1.0,18.302621269226073
17,0.0,0.0,0.0,12.695356369018555
