Tool Count,Exception Rate,Tool Execution Rate,Correct Tool Rate,Average Latency (s)
5,0.0,1.0,1.0,2.0433825492858886
6,0.0,1.0,1.0,1.791330623626709
7,0.0,1.0,1.0,2.0724017143249513
8,0.0,1.0,1.0,2.657204818725586
9,0.0,1.0,1.0,2.413788938522339
10,0.0,1.0,1.0,2.4713243007659913
11,0.0,1.0,1.0,2.2381070613861085
12,0.0,1.0,1.0,2.511775541305542
13,0.0,1.0,1.0,2.9209228515625
14,0.0,1.0,1.0,2.358298683166504
15,0.0,1.0,1.0,2.576124668121338
16,0.0,1.0,1.0,3.155591869354248
17,0.0,1.0,1.0,2.81975417137146
18,0.0,0.8,0.8,2.599167251586914
