Tool Count,Exception Rate,Tool Execution Rate,Correct Tool Rate,Average Latency (s)
5,0.0,1.0,1.0,2.8157065391540526
6,0.0,1.0,1.0,1.8637529850006103
7,0.0,1.0,1.0,2.1495183944702148
8,0.0,1.0,1.0,2.0987974643707275
9,0.0,1.0,1.0,2.1226954460144043
10,0.0,1.0,1.0,2.8045509338378904
11,0.0,1.0,1.0,2.1693278312683106
12,0.0,1.0,1.0,2.4525922775268554
13,0.0,1.0,1.0,2.518063259124756
14,0.0,1.0,1.0,2.534862422943115
15,0.0,1.0,1.0,2.427891159057617
16,0.0,1.0,1.0,2.569189214706421
17,0.0,0.8,0.8,2.0277631759643553
